user_id,timestamp,amount,txn_type,app_name
1,2025-02-28 07:04:44.939130,138.62,debit,PhonePe
1,2025-03-02 22:57:54.209515,273.8,debit,GooglePay
1,2025-01-05 05:42:34.881892,530.79,debit,Paytm
1,2025-02-28 23:57:28.256895,495.97,credit,Paytm
1,2025-03-04 19:52:09.617669,421.94,credit,PhonePe
1,2025-04-18 14:42:05.992838,409.73,debit,GooglePay
1,2025-01-24 07:09:24.530210,866.19,debit,Paytm
1,2025-05-15 10:31:53.655847,339.46,debit,Paytm
1,2025-04-16 14:17:48.344280,120.35,credit,Paytm
1,2025-02-12 08:24:54.246319,396.83,debit,GooglePay
1,2024-12-29 04:53:41.476807,465.22,debit,GooglePay
1,2025-03-21 06:42:24.080397,81.63,credit,GooglePay
1,2025-04-01 09:53:45.512552,770.92,credit,PhonePe
1,2025-05-17 21:07:13.708972,262.3,credit,GooglePay
1,2024-12-11 22:20:07.901425,987.51,credit,PhonePe
1,2025-02-25 09:42:25.049304,370.02,credit,PhonePe
1,2025-03-10 03:38:50.220518,421.2,credit,GooglePay
1,2025-04-21 06:23:50.149635,470.2,debit,Paytm
1,2025-02-14 19:12:57.616649,787.05,debit,GooglePay
2,2024-12-20 00:39:22.833941,175.49,credit,Paytm
2,2025-03-08 03:51:17.005133,764.67,credit,PhonePe
2,2024-12-24 23:59:45.992124,363.43,debit,Paytm
2,2025-04-05 14:23:30.407035,33.11,credit,GooglePay
2,2025-04-02 23:51:48.191575,482.74,debit,GooglePay
2,2025-05-18 22:00:37.257920,531.14,credit,GooglePay
2,2025-01-14 03:39:46.940221,381.96,debit,Paytm
2,2024-12-24 15:33:03.850391,153.25,credit,Paytm
2,2025-03-08 11:49:04.741418,487.08,debit,GooglePay
2,2025-04-21 08:19:43.549307,186.42,debit,GooglePay
2,2025-05-30 10:53:09.215272,350.3,credit,PhonePe
2,2025-04-22 06:01:11.077557,767.77,credit,GooglePay
2,2025-02-01 17:57:07.422649,528.23,credit,GooglePay
2,2025-05-12 18:20:49.432382,814.82,debit,Paytm
3,2024-12-09 11:04:08.292593,786.26,credit,GooglePay
3,2025-03-26 04:20:57.668643,511.69,credit,PhonePe
3,2025-01-17 05:08:50.358986,222.27,debit,PhonePe
3,2025-02-13 23:32:22.183931,841.38,debit,PhonePe
3,2025-01-30 11:20:49.767633,387.61,debit,PhonePe
3,2025-04-01 02:04:25.200585,290.65,credit,Paytm
3,2025-04-10 04:21:47.602230,947.39,credit,PhonePe
3,2025-01-12 14:21:09.480050,109.5,credit,Paytm
3,2025-02-21 21:31:01.151075,768.97,credit,Paytm
3,2025-01-18 11:53:24.796086,398.18,credit,PhonePe
3,2025-03-14 16:34:44.633514,735.39,credit,GooglePay
3,2025-04-25 16:08:14.151837,759.38,credit,GooglePay
3,2025-01-06 16:54:09.991527,461.17,credit,GooglePay
3,2024-12-27 15:18:59.476923,457.92,credit,Paytm
3,2024-12-12 12:37:03.465530,511.41,credit,GooglePay
