user_id,timestamp,amount,employer
1,2025-04-01 12:54:47.876967,22841,Johnson-Powers
2,2024-12-26 01:47:53.632046,33621,Anthony Inc
3,2024-12-19 19:49:51.494305,40608,Davis-Gilbert
4,2025-05-14 21:01:02.388193,16887,"Thomas, Coleman and Henry"
5,2025-04-01 00:22:53.307203,20961,Carter-Chambers
6,2025-05-19 05:33:06.900542,43044,Craig Ltd
7,2024-12-03 09:01:28.451799,19630,"Chapman, Johns and Russo"
8,2025-05-30 17:03:52.228216,18939,Torres-Turner
9,2025-02-14 12:35:51.444571,21979,"Jones, Baker and Price"
10,2025-03-09 06:45:26.249270,39155,"Abbott, Tucker and Stevens"
11,2024-12-25 02:55:58.105602,12765,"Thornton, Barrett and Williams"
12,2025-05-24 20:02:10.427621,30151,"Molina, Wallace and Carlson"
13,2024-12-22 08:58:22.462561,33751,Holmes Ltd
14,2025-02-27 19:57:18.724246,23042,Mercado-Martinez
15,2025-05-28 07:04:37.078892,18242,Mills-Martin
16,2025-01-21 10:34:42.752446,48607,Sharp LLC
17,2024-12-08 04:26:17.572530,44875,"Meyer, Reed and Henderson"
18,2025-01-26 11:34:14.317885,14639,Wilson-Arnold
19,2025-02-22 15:24:03.438926,30370,Sanders Group
20,2025-03-25 13:01:09.502755,29931,"Austin, Rogers and Hernandez"
21,2025-03-16 00:15:25.603290,40165,Davis-Castillo
22,2025-04-07 02:58:01.031401,20289,Carson Group
23,2025-02-24 20:49:19.901496,36502,Phillips Ltd
24,2025-04-21 23:00:37.952793,40268,"Smith, Mahoney and Shelton"
25,2025-05-21 21:30:30.373091,47709,White Ltd
26,2025-01-15 19:54:48.187936,46809,"Jones, Butler and Chavez"
27,2025-03-17 04:43:02.610427,49665,"Baker, Wilson and Thompson"
28,2025-01-16 13:38:05.202521,44692,George PLC
29,2024-12-11 21:47:16.228398,26470,"King, Phillips and Andrews"
30,2025-01-27 21:31:21.816660,19223,Wilson-Johnson
31,2025-01-10 23:45:02.855366,38605,Romero Group
32,2024-12-15 06:00:07.118124,38881,Campbell Group
33,2024-12-09 07:35:23.258799,23595,"Tyler, Villa and Frazier"
34,2025-04-08 08:43:17.716120,48918,"Stevens, Cole and Miller"
35,2024-12-30 04:12:01.828833,28788,"Davis, Sanders and Brown"
36,2025-03-10 11:53:43.759843,11330,Blankenship-Edwards
37,2025-05-04 18:40:28.006294,33693,Baxter-Turner
38,2025-02-25 06:59:14.516481,28252,"Williams, Watson and Hernandez"
39,2025-02-14 08:34:53.161383,20004,Montoya and Sons
40,2025-05-13 18:14:57.072976,24342,Walker Ltd
41,2024-12-13 02:13:27.036258,17579,Mckee Inc
42,2025-02-18 07:09:27.566601,16984,Thompson-Montes
43,2025-04-25 21:36:00.736198,29570,Weeks Inc
44,2024-12-03 22:45:44.431303,47811,Berger-Morton
45,2025-01-18 03:46:06.831855,18489,"Murphy, Floyd and Ruiz"
46,2025-02-21 04:44:42.540439,23974,Hodges LLC
47,2025-04-08 04:56:02.493382,34266,Griffin Inc
48,2025-05-11 17:07:54.926653,39028,Reynolds-Mendoza
49,2025-02-07 19:51:43.901888,12463,Sims Ltd
50,2025-04-01 17:03:20.811403,25737,Baxter PLC
51,2025-02-15 10:57:03.888669,27530,Lowe Ltd
52,2025-01-23 09:57:30.832911,30474,Garcia Inc
53,2025-01-23 01:05:04.576596,22309,Hayes-Allen
54,2025-04-20 11:08:37.079912,14678,Ritter Ltd
55,2024-12-07 04:42:19.920059,30707,"Rivas, Barker and Patterson"
56,2024-12-11 10:17:47.162832,34137,"Humphrey, Mcmillan and Russell"
57,2025-01-14 13:25:23.821135,18683,Wiggins-Finley
58,2025-05-04 19:37:50.853132,21095,"Shea, Lee and James"
59,2025-02-03 05:05:33.399681,12232,King-Kennedy
60,2025-01-24 14:10:01.255472,46335,Santos and Sons
61,2025-01-19 01:29:47.204546,32040,Carter-Diaz
62,2025-04-20 16:48:39.289727,34660,"Jones, Brown and Walker"
63,2025-01-19 22:22:58.402224,36413,Johnson Ltd
64,2025-01-29 16:13:02.551538,43307,"Barrett, Booth and Johnson"
65,2024-12-08 10:35:34.376039,32625,Williams-Wilson
66,2025-04-15 07:36:14.391866,21495,Hodge-Lee
67,2025-04-26 06:21:35.389037,40674,Gallagher-Obrien
68,2025-05-14 02:33:30.156363,42339,Lewis-Ferguson
69,2025-01-26 14:14:30.820697,20548,"Barnett, Hawkins and Morales"
70,2024-12-13 04:04:06.503420,25868,"Hopkins, Daniels and Holmes"
71,2025-05-25 08:38:39.982630,11309,"Carter, Nelson and Wright"
72,2025-04-23 15:37:49.811412,21141,"Murray, Moore and Alvarado"
73,2025-04-30 16:50:24.596010,27892,Nelson Ltd
74,2025-05-16 15:18:04.210053,35433,"Smith, Sullivan and Schmidt"
75,2025-05-12 12:43:39.847950,10557,Miller Group
76,2025-03-18 00:31:16.867866,47061,Powell Inc
77,2025-02-01 18:49:41.895786,42392,"Sandoval, Kennedy and Martinez"
78,2025-03-22 08:16:37.826876,35046,Hill Group
79,2025-05-10 14:33:09.372583,39210,"Martin, Chan and Melendez"
80,2025-01-21 02:02:22.795481,14975,Mccoy-Cox
81,2024-12-10 09:43:43.232117,43576,Bartlett-Hayes
82,2025-05-27 13:18:26.460895,29955,Murray LLC
83,2025-01-26 03:35:20.092759,25324,"Daniel, Phillips and Hernandez"
84,2024-12-28 02:07:12.142589,20790,Montes-Williams
85,2025-02-19 19:00:23.022974,47666,"Velasquez, Brennan and Thompson"
86,2025-02-10 21:53:35.469090,33862,"Ray, Taylor and Schmitt"
87,2025-06-02 11:29:37.066600,38880,Kane-Alvarez
88,2025-02-05 00:56:18.965599,22855,Rodriguez-Garcia
89,2025-04-21 18:01:20.071459,31285,"Mccormick, Goodwin and Miller"
90,2025-01-28 09:25:39.345171,48938,Harding Ltd
91,2025-01-26 23:30:53.814059,21687,Gentry-Buchanan
92,2025-04-17 20:53:14.621511,16679,Savage-Reid
93,2024-12-02 21:29:49.094063,25443,Wright and Sons
94,2025-06-01 01:49:57.486318,20996,"Berger, Wilson and Blair"
95,2025-06-01 02:22:42.271086,38167,"Brown, Davis and Reeves"
96,2024-12-20 14:10:06.252883,30279,Mccall Group
97,2024-12-04 19:18:06.192594,44767,"Callahan, Kelly and Owens"
98,2025-06-02 05:29:25.470666,17225,Ferguson and Sons
99,2024-12-07 05:43:08.326559,13950,Rose-Bass
100,2025-02-06 18:16:38.972424,40160,Harrell-Lynch
101,2025-01-17 14:19:29.821368,28256,"Roberson, Galvan and White"
102,2025-01-19 22:35:39.483048,26160,Miller and Sons
103,2025-05-17 13:41:35.461762,31255,Johnson Group
104,2024-12-06 00:02:29.064838,24851,Tucker-Shepard
105,2025-06-02 03:52:24.140785,30982,Good-Brown
106,2025-03-02 08:05:18.595499,27528,"Joyce, Weaver and Shaw"
107,2025-05-05 18:49:57.822995,11518,"Velasquez, Horne and Henderson"
108,2025-01-01 21:50:10.312678,29012,"Freeman, Ford and Rodriguez"
109,2024-12-22 06:44:34.675128,44890,Brewer Ltd
110,2025-05-13 02:29:14.327089,25582,Mclaughlin and Sons
111,2025-05-15 19:01:52.436187,13172,"Taylor, Smith and Forbes"
112,2025-02-19 12:00:11.779097,25018,"Hernandez, Brown and White"
113,2025-05-14 10:32:31.829150,18894,Mitchell-Davis
114,2025-04-30 09:36:32.979606,33091,Webb Group
115,2025-02-18 12:17:02.214713,11931,Thompson-Davila
116,2025-05-12 11:22:06.089079,19192,Sandoval-Sullivan
117,2025-05-31 02:28:23.467562,23843,Pierce-Wheeler
118,2025-04-10 07:46:44.777923,25923,"Russell, Davis and Watson"
119,2025-04-18 06:11:29.429880,19161,"Leach, Parsons and Freeman"
120,2024-12-04 19:36:55.378563,19938,Robinson and Sons
121,2025-02-27 12:34:03.591402,12620,Sparks LLC
122,2025-05-22 23:29:36.534261,48242,"Russell, Fernandez and Lin"
123,2025-04-25 10:11:26.007128,21723,"Wilson, Carter and Patterson"
124,2025-04-08 22:02:29.575986,14631,"Acevedo, Reyes and Mejia"
125,2025-02-22 05:26:21.727864,49900,James PLC
126,2025-04-15 06:31:34.719978,33467,Chan-Allen
127,2024-12-25 13:41:40.761292,14719,"Bell, Dickerson and Campbell"
128,2025-03-02 09:41:39.026722,36774,"Smith, Parker and Miller"
129,2025-02-14 08:50:30.324959,45693,"Carter, Wilson and Mosley"
130,2025-02-27 16:09:50.620326,23653,Norris Inc
131,2025-02-13 18:02:49.978849,31989,"Rich, Barnes and Johnson"
132,2025-02-02 10:58:20.173615,21159,"Kelly, Henderson and Leon"
133,2025-01-29 01:43:40.755486,29606,Floyd and Sons
134,2025-02-07 13:14:10.226472,10456,Stephenson Group
135,2025-03-12 20:07:59.738673,15338,Johnson Group
136,2024-12-24 10:27:09.605212,48823,Martin Ltd
137,2025-01-30 13:01:30.284699,25287,"Hansen, Abbott and Sweeney"
138,2025-04-23 03:07:30.398856,15901,"Washington, Patel and Ortiz"
139,2025-04-07 11:03:39.727061,36920,Johnson PLC
140,2024-12-17 03:48:51.749601,45463,Hamilton-Brown
141,2025-02-12 11:58:53.781622,22409,"Cabrera, Payne and Walters"
142,2025-03-22 18:28:37.080624,11033,Collins LLC
143,2025-02-16 09:52:00.492091,34714,Clark-Davis
144,2025-04-02 06:35:36.604859,43734,Gibson-Leach
145,2025-04-08 11:49:18.073201,12763,Fox Ltd
146,2025-01-17 14:57:03.351821,37108,Kim-Mooney
147,2025-02-05 07:23:41.220363,39354,"Scott, Johnson and Greer"
148,2025-05-15 13:51:19.248393,13272,Reynolds-Porter
149,2025-01-01 15:29:19.667100,22362,"Young, Jones and Martinez"
150,2025-05-26 21:35:50.455504,38013,"Mueller, Cochran and Saunders"
151,2025-02-13 23:45:27.406677,11872,Johnson-Goodwin
