user_id,timestamp,wallet_type,balance_amount
1,2024-12-04 07:26:06.659464,GooglePay,1590.87
1,2025-01-11 21:01:48.046407,GooglePay,4717.08
1,2025-03-21 16:24:07.607549,Paytm,2866.54
1,2025-04-13 11:09:24.607918,Paytm,1893.71
1,2025-03-16 13:40:41.488437,Paytm,307.28
1,2025-04-11 12:37:15.003600,GooglePay,3858.37
1,2025-05-18 07:25:24.599376,GooglePay,1866.91
1,2025-03-11 11:50:47.944793,PhonePe,3671.17
1,2025-01-05 04:56:20.019689,GooglePay,723.93
1,2025-01-20 08:42:52.716886,PhonePe,1150.34
1,2025-04-07 01:58:22.608999,GooglePay,4690.63
2,2025-02-05 04:03:27.898662,GooglePay,109.05
2,2025-03-27 06:49:18.529052,Paytm,4150.49
2,2025-03-01 16:10:16.292135,PhonePe,808.27
2,2025-02-28 07:11:30.830332,Paytm,4957.24
2,2025-05-14 20:26:24.220671,PhonePe,1533.31
2,2025-05-25 01:40:15.651437,GooglePay,1616.91
2,2025-06-02 00:30:30.976177,PhonePe,4724.89
2,2024-12-09 22:04:00.185677,PhonePe,2013.33
3,2025-06-01 08:00:13.620036,Paytm,2379.88
3,2025-01-09 15:32:15.682546,Paytm,1394.38
3,2025-03-01 22:37:48.607262,PhonePe,1375.49
3,2025-05-26 23:00:44.241530,Paytm,433.56
3,2025-04-10 16:03:09.247538,PhonePe,375.24
3,2024-12-29 04:03:08.952142,PhonePe,711.98
3,2025-04-08 18:06:05.560917,Paytm,166.32
3,2024-12-16 01:43:29.181506,Paytm,1081.6
3,2025-01-04 03:06:38.705932,PhonePe,975.25
3,2025-04-24 09:25:15.623594,Paytm,3078.14
4,2025-01-06 21:21:06.011594,Paytm,541.57
4,2025-05-14 22:20:46.973421,PhonePe,3987.66
4,2025-03-25 18:24:52.375466,PhonePe,1539.63
4,2024-12-03 04:51:55.901480,Paytm,4596.9
4,2025-01-10 10:11:38.958598,PhonePe,1255.4
4,2025-02-17 08:14:09.798749,Paytm,480.02
4,2025-06-03 04:08:04.797941,PhonePe,3448.57
4,2025-04-24 02:11:10.250332,PhonePe,3133.51
5,2025-02-02 03:58:03.007510,GooglePay,3968.31
