user_id,timestamp,amount,merchant_category
1,2025-02-20 06:13:59.086963,387.22,groceries
1,2025-03-26 15:58:41.404852,269.12,bills
1,2025-03-20 04:20:24.413236,275.52,groceries
1,2025-02-10 05:27:04.494616,91.28,entertainment
1,2024-12-20 16:59:24.477559,452.6,travel
1,2025-05-16 03:34:33.945869,76.24,others
1,2025-04-07 22:49:26.142045,107.87,travel
1,2025-02-25 22:47:14.531004,245.86,others
1,2024-12-18 16:26:54.573353,302.68,travel
1,2025-04-29 15:48:22.297616,126.88,others
1,2025-05-17 03:14:22.015277,257.57,groceries
1,2025-03-04 08:01:15.862258,451.54,travel
1,2025-02-21 05:48:19.033706,15.7,groceries
1,2024-12-21 07:52:22.308651,74.22,bills
1,2025-01-07 03:18:41.847456,479.25,others
1,2025-05-19 00:22:48.138658,315.4,travel
1,2025-04-18 00:01:01.093178,342.0,others
1,2025-01-24 13:09:27.807200,54.9,others
1,2025-01-27 15:52:42.027256,65.45,groceries
1,2025-06-01 18:36:10.443458,345.93,groceries
1,2024-12-20 18:19:54.594845,452.49,bills
1,2025-01-22 23:04:06.267689,62.58,bills
1,2025-03-05 17:24:57.492266,374.23,bills
1,2025-03-08 18:16:07.837526,432.2,others
1,2024-12-06 20:23:20.730980,358.9,entertainment
1,2025-02-21 17:59:57.133930,407.27,others
1,2025-05-08 05:00:40.608638,454.31,travel
1,2024-12-05 23:17:57.642653,62.96,others
1,2025-05-07 19:46:48.994227,196.03,others
1,2025-05-30 14:35:30.770933,349.86,travel
1,2025-04-05 22:19:58.443831,415.67,entertainment
1,2025-05-06 17:45:59.753172,442.3,travel
1,2025-04-13 06:07:10.626879,188.02,groceries
1,2025-04-29 14:05:33.436138,158.32,entertainment
1,2025-03-18 03:41:57.198399,426.57,groceries
1,2024-12-05 17:54:01.201810,135.48,bills
1,2025-01-26 12:45:51.901444,307.82,travel
1,2025-02-23 00:54:59.205168,313.27,bills
1,2025-01-04 19:20:18.690818,156.86,bills
1,2024-12-15 22:06:02.647785,266.81,travel
1,2025-04-01 16:12:49.587706,285.0,travel
1,2024-12-08 09:40:47.812841,102.8,groceries
1,2025-02-28 09:29:47.875821,136.66,entertainment
1,2025-01-16 03:21:06.289741,25.39,entertainment
1,2025-04-30 21:31:52.696337,412.64,bills
1,2025-01-23 19:25:58.349078,496.19,bills
1,2025-04-17 23:19:54.540326,368.91,groceries
1,2024-12-26 01:26:50.250613,45.96,bills
1,2024-12-07 09:02:58.826394,283.91,bills
1,2025-02-20 07:57:02.615760,212.0,travel
1,2025-03-14 23:13:53.106473,430.67,entertainment
1,2025-02-19 19:41:35.687931,264.98,entertainment
1,2025-04-16 05:52:11.157940,32.57,travel
1,2025-02-22 20:09:48.911078,349.43,entertainment
1,2024-12-17 23:07:53.029073,209.58,groceries
1,2025-03-25 15:32:40.908934,395.37,bills
1,2024-12-15 18:21:22.149726,145.58,bills
1,2025-02-27 04:15:48.355598,465.24,entertainment
1,2025-01-12 14:48:00.380813,104.49,entertainment
1,2025-01-21 12:38:41.557176,84.18,groceries
1,2025-01-30 11:33:14.869244,412.0,bills
1,2025-05-11 01:30:11.246828,363.69,travel
1,2024-12-20 06:03:21.244224,297.37,others
1,2025-04-07 21:42:14.698635,110.71,entertainment
1,2024-12-10 14:36:14.956089,333.12,groceries
1,2025-02-01 01:27:41.614458,482.14,groceries
1,2025-03-05 03:14:02.198571,60.89,others
1,2025-04-06 03:56:26.845767,226.47,travel
1,2025-02-16 02:04:08.766670,192.69,travel
1,2025-03-04 11:51:11.978791,422.36,travel
1,2025-04-16 15:06:35.401186,426.73,bills
1,2025-03-05 17:29:42.321018,324.43,groceries
1,2024-12-24 06:09:47.291640,223.45,entertainment
1,2025-01-22 09:21:40.205436,176.29,bills
1,2025-01-23 16:58:45.805386,432.92,travel
1,2024-12-23 16:05:46.310597,191.64,entertainment
1,2025-01-06 04:31:38.948928,339.48,bills
1,2024-12-29 15:38:21.098826,378.74,others
1,2025-02-02 15:55:36.226416,425.86,entertainment
1,2025-02-28 16:02:33.218479,260.5,others
1,2025-04-15 13:02:53.358280,174.1,groceries
1,2025-02-14 14:52:20.646459,483.69,travel
1,2024-12-16 02:41:30.998050,247.8,bills
1,2025-03-15 14:17:00.828734,341.95,groceries
1,2025-02-01 01:17:16.027762,115.24,travel
1,2025-03-28 23:55:02.915895,52.57,groceries
1,2025-01-07 22:40:25.893431,35.93,others
1,2025-05-31 04:09:15.718620,478.32,groceries
1,2024-12-25 13:20:15.044675,115.55,travel
2,2024-12-06 04:24:03.156261,328.84,bills
2,2024-12-24 16:59:47.299524,340.31,groceries
2,2025-03-23 21:53:47.355814,380.14,groceries
2,2025-05-21 03:50:47.301948,428.1,entertainment
2,2025-01-27 21:41:56.195045,88.16,bills
2,2025-04-05 02:49:43.702022,105.27,others
2,2025-01-02 16:07:54.261610,366.54,groceries
2,2024-12-21 12:38:23.677913,268.44,groceries
2,2025-02-21 22:58:14.393193,134.04,bills
2,2025-02-12 20:00:38.525381,288.43,groceries
2,2025-01-29 11:14:50.048692,323.31,entertainment
2,2025-05-09 04:44:45.998724,304.89,travel
2,2025-02-21 00:41:28.229497,20.04,others
2,2025-04-08 02:26:37.184175,318.33,entertainment
2,2025-05-22 07:51:32.999275,364.22,others
2,2025-01-25 06:09:49.516914,218.39,bills
2,2025-05-28 14:30:32.461422,470.78,others
2,2024-12-31 01:13:30.060858,303.59,groceries
2,2025-04-05 06:13:50.393088,443.97,bills
2,2024-12-21 11:01:23.894082,29.55,others
2,2025-05-25 15:23:37.441230,423.15,others
2,2025-04-12 09:33:45.544378,15.44,bills
2,2025-05-02 06:37:21.981326,205.51,groceries
2,2025-04-07 08:44:48.568088,486.9,groceries
2,2025-01-06 11:39:50.750051,291.19,travel
2,2025-01-25 13:40:39.233604,452.0,travel
2,2024-12-19 07:56:37.021093,423.04,travel
2,2025-02-27 08:29:40.574642,161.88,entertainment
2,2025-05-30 23:23:08.790302,45.33,others
2,2025-03-31 03:29:28.414947,168.94,entertainment
2,2025-04-09 15:57:12.346223,232.38,groceries
2,2025-05-01 10:46:25.145575,79.7,groceries
2,2025-01-18 22:57:12.696838,79.79,entertainment
2,2025-05-10 09:24:09.751472,289.28,bills
2,2025-02-18 18:53:46.728009,302.88,entertainment
2,2025-01-21 07:50:05.384426,258.13,travel
2,2025-04-11 20:48:26.464314,386.74,bills
2,2025-02-07 12:24:00.513343,413.79,groceries
2,2025-04-19 06:11:05.920462,283.39,groceries
2,2025-05-14 15:08:50.345015,349.76,others
2,2025-02-28 01:45:54.514715,238.78,others
2,2025-04-01 08:16:39.862857,396.84,bills
2,2025-04-24 14:30:45.388070,175.87,groceries
2,2025-05-02 23:30:57.502504,214.29,travel
2,2025-04-10 19:52:10.882172,43.75,travel
2,2025-04-05 09:25:26.795070,342.26,others
2,2025-05-31 21:21:51.408606,207.72,bills
2,2024-12-21 21:29:24.892531,444.55,groceries
2,2025-02-24 04:12:30.934824,199.81,groceries
2,2024-12-22 14:46:53.075936,153.07,groceries
2,2025-02-22 00:00:17.766181,400.41,others
2,2025-01-21 18:38:47.687999,379.82,bills
2,2025-03-20 21:08:25.929746,420.93,groceries
2,2025-01-20 19:22:02.677461,165.11,bills
2,2025-01-08 11:05:48.320300,66.08,entertainment
2,2025-02-12 19:07:25.771041,300.23,others
2,2025-04-03 09:06:30.660366,237.2,travel
2,2025-05-28 23:35:01.056225,362.37,bills
2,2025-01-22 16:42:19.617872,12.1,entertainment
2,2025-04-22 23:46:25.938302,93.29,bills
2,2025-01-26 21:54:11.209261,362.26,others
2,2025-04-14 21:41:25.915560,181.24,others
2,2025-03-23 19:37:05.186754,260.82,groceries
2,2025-05-16 02:48:33.997232,166.88,bills
2,2025-05-08 18:50:45.547052,270.83,others
2,2025-03-19 13:52:20.528405,328.17,entertainment
2,2025-04-07 23:56:23.548544,400.4,entertainment
2,2025-04-19 08:22:02.638200,331.51,bills
2,2025-01-06 14:10:59.118063,359.03,bills
2,2025-01-23 22:13:48.195194,99.44,bills
3,2025-02-21 15:34:37.495274,481.48,groceries
3,2025-05-29 07:27:04.057664,311.62,bills
3,2025-01-27 18:04:08.514215,484.35,travel
3,2024-12-06 16:38:58.464944,63.59,travel
3,2025-04-26 16:40:13.247379,139.1,groceries
3,2025-01-10 02:23:49.676713,484.02,entertainment
3,2025-04-29 21:11:08.550216,323.34,others
3,2025-01-16 22:28:32.469545,307.22,groceries
3,2025-01-14 18:33:37.919003,60.08,bills
3,2025-04-21 08:36:49.512905,105.8,bills
3,2025-04-30 19:54:33.288774,467.81,groceries
3,2025-04-09 04:29:26.700680,413.96,groceries
3,2024-12-18 17:34:59.902702,152.62,travel
3,2025-01-02 09:39:14.489640,422.19,entertainment
3,2025-04-06 23:05:02.682116,55.92,others
3,2025-01-15 19:56:16.032504,116.2,entertainment
3,2025-05-29 23:30:21.888164,198.37,bills
3,2025-04-17 07:33:01.451983,79.16,travel
3,2025-04-25 01:22:24.153203,223.55,entertainment
3,2025-01-23 04:11:36.808749,219.3,entertainment
3,2025-04-16 03:54:09.200969,139.34,bills
3,2025-02-16 23:42:04.261109,458.25,bills
3,2025-05-18 05:18:40.877270,166.54,travel
3,2025-02-11 23:01:42.025607,244.41,entertainment
3,2025-01-02 03:08:27.861696,49.05,entertainment
3,2025-01-23 23:08:42.214048,76.55,bills
3,2025-04-12 12:59:16.883893,361.53,entertainment
3,2025-04-24 05:51:02.233195,137.26,others
3,2025-01-19 22:35:05.492151,302.12,bills
3,2025-04-04 06:29:18.391742,399.12,bills
