user_id,timestamp,amount,bill_type
1,2025-05-24 03:50:54.929735,1652.52,electricity
1,2025-02-25 11:41:04.770849,505.93,electricity
1,2025-01-10 08:16:19.376132,515.03,internet
1,2024-12-20 17:35:34.820191,137.82,water
1,2025-02-20 15:42:59.852053,2571.77,water
1,2025-02-09 13:29:36.357065,391.46,electricity
2,2025-01-07 05:35:24.248415,2143.91,mobile
2,2025-03-12 17:26:40.936223,2949.35,electricity
2,2025-02-02 01:19:01.602277,2915.3,water
2,2025-05-05 10:28:06.908528,1451.2,mobile
2,2025-01-10 21:38:34.577246,1880.28,internet
2,2025-02-28 17:08:05.963450,2706.26,internet
2,2025-06-01 03:57:08.836242,2231.86,electricity
2,2025-03-10 20:05:01.493124,1944.08,mobile
2,2025-01-21 14:30:54.118077,2359.44,mobile
2,2025-05-20 12:05:27.757051,1908.46,internet
2,2025-05-18 09:16:52.952001,1200.82,electricity
2,2025-01-29 23:25:07.214061,1639.64,internet
2,2025-05-27 09:00:49.324178,844.92,internet
3,2025-04-01 08:38:36.599428,975.18,internet
3,2024-12-10 22:12:47.380504,2735.48,mobile
3,2025-05-10 00:50:45.233193,2153.96,mobile
4,2025-05-29 11:25:17.634030,1476.82,water
4,2025-05-15 08:26:21.578010,572.15,internet
4,2025-03-10 09:38:54.189525,1849.04,mobile
4,2025-02-11 09:39:03.755736,755.81,mobile
4,2025-04-22 13:35:32.787056,1897.04,electricity
4,2025-01-13 19:40:52.813029,2238.86,electricity
4,2025-03-11 04:10:37.999609,831.16,water
4,2025-05-18 12:52:42.218298,2439.78,electricity
4,2025-05-03 08:24:24.926927,1244.21,electricity
4,2024-12-28 02:37:01.021916,929.25,mobile
4,2025-02-02 03:49:02.906627,2739.87,electricity
4,2024-12-20 18:17:17.265105,2734.69,mobile
4,2024-12-20 19:25:36.376042,200.06,electricity
4,2025-01-02 03:32:04.998550,600.77,water
5,2025-01-22 05:00:00.706607,1313.85,mobile
5,2025-01-20 12:15:53.366765,1586.4,mobile
5,2025-05-15 05:48:31.441943,2587.57,mobile
5,2025-03-01 01:29:23.998426,2274.8,internet
5,2025-01-12 22:24:47.529139,822.97,water
6,2025-01-24 03:34:20.328682,2831.68,internet
6,2024-12-04 18:14:22.877658,2019.48,electricity
6,2024-12-09 12:15:15.188665,1170.85,mobile
6,2025-04-30 16:18:41.768564,2923.53,water
6,2025-04-18 19:09:05.867146,1923.72,electricity
6,2025-03-20 18:36:55.926204,1866.85,mobile
6,2025-05-10 20:16:28.615636,361.19,electricity
6,2024-12-07 04:05:57.247385,2784.61,mobile
6,2025-02-27 15:19:51.772743,1468.82,mobile
6,2025-05-28 20:47:29.070057,2498.04,mobile
6,2024-12-06 11:36:38.636429,509.82,electricity
6,2025-03-06 03:53:16.614179,1114.52,electricity
6,2025-03-31 20:18:53.997360,1909.04,internet
6,2025-01-02 17:55:03.856708,2486.86,internet
7,2025-03-19 12:07:08.707890,609.87,electricity
7,2025-05-09 05:14:52.407810,2186.72,internet
7,2025-04-25 00:52:30.353503,1106.92,mobile
