user_id,timestamp,platform,amount,is_returned
1,2025-02-06 18:11:00.515485,Amazon,1169.16,False
1,2024-12-22 01:56:10.194205,Amazon,339.46,False
1,2025-04-09 07:53:17.217171,Flipkart,1184.45,True
1,2025-02-13 12:56:41.787916,Meesho,534.26,True
1,2025-04-19 00:01:14.760571,Meesho,826.68,False
1,2025-04-09 15:05:04.183653,Amazon,1346.91,True
1,2025-01-27 19:40:24.303475,Meesho,1799.64,True
2,2025-02-17 02:34:56.082488,Amazon,1472.52,False
2,2025-01-07 01:34:30.458013,Amazon,1052.07,True
3,2025-05-27 16:53:10.115580,Amazon,503.17,True
3,2025-01-21 10:25:48.743806,Meesho,1655.69,False
3,2024-12-03 21:26:46.507123,Amazon,563.45,True
3,2025-05-16 14:34:17.463432,Meesho,952.0,False
3,2025-03-10 08:21:05.549816,Meesho,488.74,True
3,2025-01-22 15:00:31.303727,Meesho,1225.86,False
3,2025-04-04 11:55:30.310437,Flipkart,1255.97,True
3,2025-02-08 12:55:15.776174,Amazon,1672.74,False
3,2025-01-11 04:24:06.546913,Flipkart,726.45,False
4,2025-04-24 00:40:54.106489,Amazon,1808.56,True
4,2025-01-25 12:12:23.833673,Amazon,1068.49,True
4,2025-04-04 10:33:09.163060,Flipkart,207.96,True
4,2025-01-21 04:48:58.641240,Flipkart,1772.13,False
4,2025-05-08 20:12:08.605498,Meesho,1735.96,False
4,2025-02-02 13:08:40.503063,Amazon,1883.03,False
5,2025-05-19 02:03:33.548587,Meesho,1383.5,True
5,2025-05-18 20:21:45.434754,Flipkart,1315.68,True
5,2024-12-03 16:08:33.276257,Meesho,1002.16,False
5,2025-02-17 17:13:25.217736,Meesho,826.22,True
5,2025-04-11 10:01:24.670288,Amazon,712.7,False
6,2025-02-10 05:06:56.721432,Flipkart,1276.09,True
6,2024-12-23 02:21:16.918337,Amazon,516.44,False
6,2024-12-12 03:18:11.480927,Flipkart,1241.2,False
6,2025-02-15 17:25:38.682009,Amazon,353.79,False
7,2025-02-22 00:38:00.781826,Flipkart,352.89,True
7,2025-03-14 18:48:27.431385,Flipkart,1100.26,True
7,2025-04-07 18:04:47.718025,Amazon,133.71,False
7,2025-03-17 17:40:06.085160,Flipkart,1737.46,False
